ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,ps,total_share,float_share,free_share,total_mv,circ_mv
601288.SH,20100722,2.7,2.75,2.69,2.73,2.71,0.02,0.74,10651225.71,2895029.118,10.3306,0.66,13.3428,1.7949,3.9014,31764705.9,1031032.5,1031032.5,86717647.11,2814718.725
601288.SH,20100723,2.73,2.84,2.73,2.81,2.73,0.08,2.93,17927829.46,5001163.717,17.3882,1.77,13.7338,1.8475,4.0157,31764705.9,1031032.5,1031032.5,89258823.58,2897201.325
601288.SH,20100726,2.83,2.84,2.77,2.8,2.81,-0.01,-0.36,7046938.76,1974873.434,6.8348,0.64,13.6849,1.8409,4.0014,31764705.9,1031032.5,1031032.5,88941176.52,2886891
601288.SH,20100727,2.79,2.8,2.77,2.78,2.8,-0.02,-0.71,3844839.85,1070439.99,3.7291,0.38,13.5872,1.8277,3.9728,31764705.9,1031032.5,1031032.5,88305882.4,2866270.35
601288.SH,20100728,2.78,2.85,2.78,2.84,2.78,0.06,2.16,7969171.38,2248740.081,7.7293,0.87,13.8804,1.8672,4.0586,31764705.9,1031032.5,1031032.5,90211764.76,2928132.3
601288.SH,20100729,2.84,2.88,2.81,2.83,2.84,-0.01,-0.35,8945883.95,2542991.631,8.6766,0.94,13.8316,1.8606,4.0443,31764705.9,1031032.5,1031032.5,89894117.7,2917821.975
601288.SH,20100730,2.82,2.82,2.77,2.79,2.83,-0.04,-1.41,5106245.57,1423707.806,4.9526,0.56,13.6361,1.8343,3.9871,31764705.9,1031032.5,1031032.5,88623529.46,2876580.675
601288.SH,20100802,2.78,2.81,2.77,2.8,2.79,0.01,0.36,5215746.32,1454410.936,5.0588,0.79,13.6849,1.8409,4.0014,31764705.9,1031032.5,1031032.5,88941176.52,2886891
601288.SH,20100803,2.8,2.81,2.73,2.73,2.8,-0.07,-2.5,5667042,1568202.174,5.4965,0.91,13.3428,1.7949,3.9014,31764705.9,1031032.5,1031032.5,86717647.11,2814718.725
601288.SH,20100804,2.73,2.75,2.7,2.73,2.73,0,0,4138634.63,1127311.96,4.0141,0.63,13.3428,1.7949,3.9014,31764705.9,1031032.5,1031032.5,86717647.11,2814718.725
601288.SH,20100805,2.73,2.73,2.71,2.72,2.73,-0.01,-0.37,3355002.2,911158.946,3.254,0.58,13.4535,1.7707,3.9337,32145882.3,1031032.5,1031032.5,87436799.86,2804408.4
601288.SH,20100806,2.72,2.73,2.7,2.72,2.72,0,0,3280149.09,891315.216,3.1814,0.7,13.4535,1.7707,3.9337,32145882.3,1031032.5,1031032.5,87436799.86,2804408.4
601288.SH,20100809,2.72,2.73,2.7,2.72,2.72,0,0,4598875.84,1246015.558,4.4605,1.06,13.4535,1.7707,3.9337,32145882.3,1031032.5,1031032.5,87436799.86,2804408.4
601288.SH,20100810,2.71,2.72,2.68,2.69,2.72,-0.03,-1.1,5066835.48,1364669.77,4.9143,1.2,13.3051,1.7512,3.8904,32145882.3,1031032.5,1031032.5,86472423.39,2773477.425
601288.SH,20100811,2.69,2.7,2.68,2.69,2.69,0,0,4681193.63,1258909.839,4.5403,1.15,13.3051,1.7512,3.8904,32145882.3,1031032.5,1031032.5,86472423.39,2773477.425
